;p00;p01
2655;14059;Машинист приклеечной машины
2656;14065;Машинист промывочного агрегата
2657;14067;Машинист промывочной машины
2658;14072;Машинист промывочных машин
2659;14078;Машинист протекторного агрегата
2660;14080;Машинист протирочных машин
2661;14084;Машинист проходческого комплекса
2662;14085;Машинист пруфера
2663;14089;Машинист путепередвигателя
2664;14098;Машинист пылевых насосов
2665;14100;Машинист разводной машины
2666;14103;Машинист разливочной машины
2667;14104;Машинист разливочной машины
2668;14106;Машинист разливочно-наполнительных автоматов
2669;14108;Машинист размольного оборудования
2670;14112;Машинист расплеточной машины
2671;14117;Машинист растворонасоса
2672;14121;Машинист расфасовочно-упаковочных машин
2673;14123;Машинист ратинирующей машины
2674;14125;Машинист реактивной установки
2675;14129;Машинист регенерационной установки
2676;14131;Машинист-регулировшик
2677;14133;Машинист резальных машин
2678;14135;Машинист резиносмесителя
2679;14137;Машинист рекордерной машины
2680;14139;Машинист релевочной машины
2681;14144;Машинист ритуального оборудования
2682;14146;Машинист рифлевальной машины
2683;14151;Машинист ровничной машины
2684;14153;Машинист рубильной машины
2685;14155;Машинист рубительной машины
2686;14157;Машинист рудоусреднительной машины
2687;14160;Машинист рыбомучной установки
2688;14162;Машинист рыбоподъемника
2689;14175;Машинист семешлифовальных машин
2690;14177;Машинист силиконовой машины
2691;14179;Машинист сквиджевого станка
2692;14189;Машинист слитколомателя
2693;14191;Машинист слюдовыборочной установки
2694;14192;Машинист слюдопластоделательной машины
2695;14196;Машинист смесительной установки гидрозакладки
2696;14205;Машинист солеобогатительной установки
2697;14206;Машинист солеуборочного комбайна
2698;14210;Машинист сортировочного автомата
2699;14216;Машинист сталеструйной машины
2700;14218;Машинист стрейнера
2701;14220;Машинист сублимационных установок
2702;14224;Машинист сушильной установки
2703;14227;Машинист сцены
2704;14229;Машинист сшивальной машины
2705;14232;Машинист сырьевых мельниц
2706;14234;Машинист табакорезальных машин
2707;14239;Машинист тельфера
2708;14241;Машинист тепловоза
2709;14243;Машинист термодисперсионной установки
2710;14249;Машинист терочных машин
2711;14251;Машинист тестомесильных машин
2712;14255;Машинист тетрадных агрегатов
2713;14257;Машинист технологических компрессоров
2714;14259;Машинист технологических насосов
2715;14261;Машинист топливоподачи
2716;14265;Машинист трамбовки
2717;14267;Машинист-транспортировщик горячего металла
2718;14269;Машинист трелевочной машины
2719;14277;Машинист трубоукладчика
2720;14282;Машинист тягового агрегата
2721;14284;Машинист уборочных машин
2722;14286;Машинист угольных мельниц
2723;14288;Машинист укладчика асфальтобетона
2724;14290;Машинист упаковочной машины
2725;14291;Машинист уплотняющей и планировочноуплотняющей машины
2726;14297;Машинист установки по испытанию железобетонных изделий и конструкций
2727;14299;Машинист установки по обработке транспортных средств
2728;14301;Машинист установки по приготовлению пульпы
2729;14305;Машинист установки по разрушению негабаритов горной массы
2730;14311;Машинист установки самоклеящихся пленок
2731;14315;Машинист установок обогащения и брикетирования
2732;14316;Машинист установок по обслуживанию подвижного состава
2733;14317;Машинист фальцевальных машин
2734;14319;Машинист фиксационных машин
2735;14321;Машинист фильтроделательных машин
2736;14322;Машинист фильтр-пресса
2737;14324;Машинист финишера
2738;14328;Машинист формовочной машины
2739;14331;Машинист формующих машин
2740;14333;Машинист фрезагрегата
2741;14341;Машинист холодильных установок
2742;14345;Машинист цементных мельниц
2743;14351;Машинист чаезавялочно-фиксационных машин
2744;14352;Машинист чаезавялочных машин
2745;14354;Машинист чаескручивающих машин
2746;14356;Машинист чаесушильных машин
2747;14360;Машинист шахтных холодильных установок
2748;14362;Машинист швейных машин и автоматов
2749;14364;Машинист шихтоподачи
2750;14366;Машинист шламовых насосов
2751;14368;Машинист шоколадо-отделочных машин
2752;14371;Машинист шпрединг-машины
2753;14373;Машинист шприц-машины
2754;14377;Машинист штабелеформирующей машины
2755;14381;Машинист штыревого крана
2756;14390;Машинист экскаватора одноковшового
2757;14393;Машинист экструдера
2758;14395;Машинист экструзионного пресса
2759;14399;Машинист электровоза
2760;14401;Машинист электровоза металлургического цеха
2761;14403;Машинист электровоза тушильного вагона
2762;14405;Машинист электролафета
2763;14407;Машинист электролебедки
2764;14409;Машинист электропоезда
2765;14413;Машинист электростанции передвижной
2766;14416;Машинист энсонитной машины
2767;14418;Машинист эскалатора
2768;24031;Машинистка
2769;24035;Машинистка редакции
2770;24267;Медицинская сестра кабинета
2771;24039;Медицинская сестра милосердия
2772;24268;Медицинская сестра операционная
2773;24270;Медицинская сестра патронажная
2774;24272;Медицинская сестра по массажу
2775;24273;Медицинская сестра по физиотерапии
2776;24275;Медицинская сестра процедурной
2777;24040;Медицинский дезинфектор
2778;24041;Медицинский психолог
2779;24042;Медицинский регистратор
2780;24045;Медицинский статистик
2781;14420;Медник
2782;14422;Медник по изготовлению судовых изделий
2783;14424;Мездрильщик
2784;14427;Мездрильщик шкурок кроликов
2785;14429;Меланжист
2786;14431;Мельник
2787;14433;Мельник деревообрабатывающего производства
2788;14435;Мельник извести
2789;14438;Мельник эмалевых материалов
2790;24063;Менеджер по персоналу
2791;24071;Менеджер по рекламе
2792;14440;Металлизатор
2793;14442;Металлизатор электрокерамических изделий
2794;24078;Метеоролог
2795;24098;Методист по летной подготовке
2796;24101;Методист по физической культуре
2797;24105;Методист по экологическому просвещению
2798;24115;Механик автомобильной колонны
2799;24121;Механик бурильно-гидрографической машины
2800;24123;Механик вагона-транспортера
2801;24127;Механик вездехода
2802;24130;Механик гаража
2803;24135;Механик грузового района (участка)
2804;24138;Механик группы отряда
2805;24141;Механик дизельной и холодильной установок
2806;24142;Механик дренажной шахты
2807;24153;Механик льдозавода
2808;24156;Механик маяка
2809;24158;Механик на дноочистительном снаряде
2810;24160;Механик на землесосе, земснаряде
2811;24163;Механик-наладчик
2812;24166;Механик-наставник
2813;24169;Механик перегрузочных машин
2814;24172;Механик по буровым, горным работам
2815;14450;Механик по обслуживанию звуковой техники
2816;14454;Механик по обслуживанию съемочной техники
2817;14456;Механик по обслуживанию телевизионного оборудования
2818;24177;Механик по подъемным установкам
2819;24183;Механик по ремонту транспорта
2820;24185;Механик портового флота
2821;24188;Механик по судовым системам
2822;14455;Механик по техническим видам спорта
2823;24192;Механик производства
2824;14457;Механик протезно-ортопедических изделий
2825;24201;Механик рефрижераторных установок
2826;24204;Механик участка
2827;24207;Механик учебного полигона
2828;24213;Механик цеха
2829;24216;Миколог
2830;14463;Миксеровой
2831;24223;Минералог
2832;24228;Министр
2833;24230;Мировой судья
2834;24234;Младшая сестра милосердия
2835;23625;Младший научный сотрудник
2836;24241;Модельер
2837;24243;Модельер-конструктор
2838;14474;Модельер колодок
2839;14478;Модельер ортопедической обуви
2840;14480;Модельщик архитектурных деталей
2841;14482;Модельщик аэрогидродинамических моделей из металла
2842;14483;Модельщик аэрогидродинамических моделей из неметалла
2843;14485;Модельщик выплавляемых моделей
2844;14489;Модельщик керамического производства
2845;14491;Модельщик наглядных пособий
2846;14493;Модельщик по деревянным моделям
2847;14495;Модельщик по металлическим моделям
2848;14497;Модельщик по моделям из эпоксидных смол
2849;14501;Модельщик скульптурного производства
2850;14502;Модельщик стеклопластиков
2851;14504;Модистка головных уборов
2852;14514;Мойщик летательных аппаратов
2853;14516;Мойщик мездры и волоса
2854;14520;Мойщик покрышек
2855;14522;Мойщик посуды
2856;14523;Мойщик посуды и ампул
2857;14525;Мойщик-сушильщик металла
2858;14527;Мойщик сыра
2859;14528;Мойщик-уборщик подвижного состава
2860;14537;Мойщик щетины и волоса
2861;14541;Монтажист
2862;14544;Монтажник
2863;14546;Монтажник аппаратуры специальных головных уборов
2864;14548;Монтажник-вакуумщик
2865;14554;Монтажник гидроагрегатов
2866;14556;Монтажник горного оборудования
2867;14558;Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения
2868;14566;Монтажник микромодулей
2869;14568;Монтажник на ремонте ванн
2870;14569;Монтажник на ремонте печей
2871;14579;Монтажник оборудования деревообрабатывающих предприятий
2872;14587;Монтажник оборудования металлургических заводов
2873;14589;Монтажник оборудования предприятий пищевой промышленности
2874;14591;Монтажник оборудования предприятий полиграфической промышленности
2875;14595;Монтажник оборудования предприятий текстильной промышленности
2876;14597;Монтажник оборудования предприятий химической и нефтяной промышленности
2877;14599;Монтажник оборудования предприятий целлюлозно-бумажной промышленности
2878;14603;Монтажник оборудования сортировочных горок
2879;14605;Монтажник оборудования холодильных установок
2880;14607;Монтажник подъемно-транспортного оборудования непрерывного действия
2881;14610;Монтажник позитива
2882;14612;Монтажник по монтажу стальных и железобетонных конструкций
2883;14618;Монтажник радиоэлектронной аппаратуры и приборов
2884;14624;Монтажник связи-антенщик
2885;14626;Монтажник связи-кабельщик
2886;14627;Монтажник связи-линейщик
2887;14629;Монтажник связи-спайщик
2888;14631;Монтажник селеновых выпрямителей
2889;14633;Монтажник сельскохозяйственного оборудования
2890;14637;Монтажник строительных машин и механизмов
2891;14639;Монтажник тензорезисторов
2892;14641;Монтажник технологических трубопроводов
2893;14642;Монтажник технологического оборудования и связанных с ним конструкций
2894;14643;Монтажник трелевочного и погрузочного оборудования
2895;14645;Монтажник турбоагрегатов и синхронных компенсаторов
2896;14646;Монтажник-установщик внешней арматуры
2897;14660;Монтажник элементов памяти на ферритах
2898;14670;Монтер судовых средств безопасности
2899;14671;Монтер судоходной обстановки
2900;14673;Монтировщик вентилей
2901;14675;Монтировщик влажных препаратов
2902;14677;Монтировщик изделий из драгоценных металлов
2903;14679;Монтировщик изделий из камня
2904;14683;Монтировщик костных препаратов
2905;14685;Монтировщик микросрезов
2906;14686;Монтировщик муляжей и моделей
2907;14688;Монтировщик остеологических коллекций
2908;14694;Монтировщик сухих биологических объектов
2909;14696;Монтировщик сцены
2910;14698;Монтировщик технологических коллекций
2911;14701;Монтировщик шинопневматических муфт
2912;14703;Мостовщик
2913;14704;Мотальщик
2914;14708;Моторист автоматизированной топливоподачи
2915;14712;Моторист бетоносмесительных установок
2916;14713;Моторист буровой установки
2917;14717;Моторист водосброса
2918;14720;Моторист механической лопаты
2919;14721;Моторист на подаче крокусной суспензии
2920;14723;Моторист передаточной тележки
2921;14725;Моторист поворотного круга
2922;14730;Моторист промывочного прибора по извлечению металла
2923;14732;Моторист рапокачки
2924;14739;Моторист-смазчик
2925;14741;Моторист смесителя и мешалки
2926;14747;Моторист триера
2927;14752;Моторист холодильного барабана
2928;14754;Моторист цементировочного агрегата
2929;14757;Моторист электродвигателей
2930;14759;Моторист электроразведочной станции
2931;24252;Музыкальный оформитель
2932;15019;Намотчик иглиц
2933;24255;Музыкальный руководитель
2934;24259;Мэр
2935;14762;Мягчильщик
2936;14767;Набивальщик валиков и фильтров
2937;14769;Набивальщик наконечников на шнур
2938;14773;Набивщик блоков
2939;14775;Набивщик изделий
2940;14777;Набивщик одонков
2941;24358;Наблюдатель судовой
2942;14781;Набойщик рисунков
2943;14783;Набойщик рисунков манерами
2944;14784;Набойщик рисунков на обои
2945;14786;Наборщик блока из остеклованных стержней
2946;14788;Наборщик бумажных валов
2947;14790;Наборщик ворсовальных рамок
2948;14792;Наборщик вручную
2949;14794;Наборщик деталей часов и камней
2950;14797;Наборщик игольно-платинных изделий
2951;14803;Наборщик на машинах
2952;14805;Наборщик на наборно-печатающих машинках
2953;14807;Наборщик на наборно-строкоотливных машинах
2954;14810;Наборщик пакетов листов и труб
2955;14814;Наборщик ремиз
2956;14816;Наборщик рисунка
2957;14818;Наборщик рисунчатых валов
2958;14820;Наборщик стекломассы
2959;14822;Наборщик стопоров
2960;14826;Наборщик цен
2961;14829;Навалоотбойщик
2962;14831;Навальщик-свальщик лесоматериалов
2963;14835;Навесчик заготовок
2964;14839;Навесчик стекла
2965;14841;Навивальщик основ
2966;14845;Навивщик магнитопроводов
2967;14847;Навивщик металлокордного полотна
2968;14849;Навивщик пружин
2969;14852;Нагревальщик металла
2970;14856;Нагревальщик цветных металлов
2971;14860;Наездник
2972;14862;Наждачник
2973;14864;Накалывальщик растительного войлока
2974;14866;Накатчик
2975;14870;Накатчик изделий
2976;14872;Накатчик клеильно-сушильной машины
2977;14874;Накатчик машины для покрытия бумаги полиэтиленовой пленкой
2978;14875;Накатчик-обкатчик
2979;14877;Накатчик пергаментной машины
2980;14879;Накатчик полировальных кругов
2981;14881;Накатчик пресспата
2982;14883;Накатчик резьбы цоколей
2983;14885;Накатчик рисунков
2984;14887;Накатчик ткани, полотна
2985;14889;Накладчик на печатных машинах
2986;14899;Наладчик автоматических линий и агрегатных станков
2987;14901;Наладчик автоматов и полуавтоматов
2988;14905;Наладчик автоматов элементного производства
2989;14907;Наладчик асбестоцементного оборудования
2990;14910;Наладчик геофизической аппаратуры
2991;14979;Наладчик железнодорожно-строительных машин и механизмов
2992;14914;Наладчик зуборезных и резьбофрезерных станков
2993;14915;Наладчик зубофрезерных автоматов и полуавтоматов
2994;14917;Наладчик контрольно-измерительных вагонов
2995;14921;Наладчик кузнечно-прессового оборудования
2996;14926;Наладчик моечных машин
2997;14932;Наладчик настольных станков и прессов
2998;14934;Наладчик оборудования в бумажном производстве
2999;14938;Наладчик оборудования в производстве аэрозольных упаковок
3000;14940;Наладчик оборудования в производстве драгоценных металлов
3001;14942;Наладчик оборудования в производстве металлических канатов, сеток, пружин, щеток и цепей
3002;14944;Наладчик оборудования в производстве пищевой продукции
3003;14948;Наладчик оборудования в производстве стеновых и вяжущих материалов
3004;14952;Наладчик оборудования железобетонного производства
3005;14954;Наладчик оборудования жестяно-баночного производства
3006;14960;Наладчик оборудования керамического производства
3007;14962;Наладчик оборудования лакокрасочных покрытий
3008;14964;Наладчик оборудования металлопокрытия и окраски
3009;14966;Наладчик оборудования оптического производства
3010;14970;Наладчик оборудования по производству резиновых изделий и обуви
3011;14972;Наладчик окомковательных машин
3012;14974;Наладчик полиграфического оборудования
3013;14975;Наладчик полуавтоматических установок аккумуляторного производства
3014;14983;Наладчик сборочных автоматов, полуавтоматов и автоматических линий
3015;14985;Наладчик сварочного и газоплазморезательного оборудования
3016;14986;Наладчик сельскохозяйственных машин и тракторов
3017;14987;Наладчик сортировочных автоматов
3018;14989;Наладчик станков и манипуляторов с программным управлением
3019;14991;Наладчик стекольных автоматов и полуавтоматов
3020;14993;Наладчик строительных машин
3021;14995;Наладчик технологического оборудования
3022;14996;Наладчик технологического оборудования
3023;14997;Наладчик ускорителей заряженных частиц
3024;14999;Наладчик установок для синтеза алмазов и сверхтвердых материалов
3025;15000;Наладчик формовочных и стержневых машин
3026;15002;Наладчик холодноштамповочного оборудования
3027;15004;Наладчик шлифовальных станков
3028;15006;Намазчик аккумуляторных пластин
3029;15008;Намазчик деталей
3030;15012;Намазчик спичечных коробок
3031;15013;Намазчик целлулоида
3032;15017;Намотчик бумажных цилиндров
3033;15021;Намотчик изоляционных остовов вводов
3034;15023;Намотчик катушек
3035;15029;Намотчик катушек трансформаторов
3036;15031;Намотчик материалов и полуфабрикатов
3037;15034;Намотчик проволоки и тросов
3038;15036;Намотчик пряжи
3039;15038;Намотчик резисторов
3040;15040;Намотчик ровничной машины
3041;15045;Намотчик секций конденсаторов
3042;15047;Намотчик секций силовых конденсаторов
3043;15049;Намотчик серпантина
3044;15051;Намотчик сеток
3045;15053;Намотчик спиралей и сеток
3046;15060;Намотчик электромагнитных сердечников
3047;15062;Напайщик
3048;15064;Наплавщик пластмассы
3049;15066;Наполнитель ампул
3050;15070;Наполнитель контейнеров
3051;15072;Наполнитель приборов газами
3052;15075;Нарезчик изделий из кости и рога
3053;24364;Нарядчик
3054;24365;Нарядчик багажного отделения
3055;15077;Насадчик бобин
3056;15079;Насадчик валов
3057;15080;Насадчик дефибрерных камней
3058;15082;Насадчик манжет
3059;15084;Насадчик обуви
3060;15088;Насекальщик мелющих камней
3061;15090;Насекальщик напильников, рашпилей и пил
3062;15091;Настильщик
3063;15092;Настильщик
3064;15094;Настильщик материалов
3065;15096;Настильщик стекла
3066;15101;Настройщик музыкальных игрушек
3067;15103;Настройщик пианино и роялей
3068;15105;Настройщик полупроводниковых приборов
3069;15108;Настройщик-регулировщик смычковых инструментов
3070;15110;Настройщик щипковых инструментов
3071;15113;Насыпщик цемента
3072;15115;Натяжчик сеток
3073;23667;Научный сотрудник
3074;24373;Научный сотрудник
3075;24410;Начальник автоколонны
3076;24411;Начальник автохозяйства
3077;24412;Начальник агентства
3078;24422;Начальник азровокзала
3079;24418;Начальник архива
3080;24424;Начальник аэроклуба
3081;23695;Начальник биржи
3082;24432;Начальник бригады
3083;24440;Начальник бюро
3084;24445;Начальник вагона
3085;24448;Начальник вахты шлюза
3086;24452;Начальник вокзала
3087;24474;Начальник главного управления федерального казначейства
3088;23741;Начальник городка
3089;24487;Начальник группы
3090;24493;Начальник департамента федерального органа исполнительной власти
3091;24499;Начальник депо
3092;24502;Начальник детского приемника-распределителя
3093;24509;Начальник дирекции по обслуживанию пассажиров
3094;24512;Начальник дирекции строящегося метрополитена
3095;24515;Начальник дистанции
3096;24526;Начальник драги
3097;24530;Начальник железной дороги
3098;24533;Начальник запани
3099;24539;Начальник инспекции в аппарате счетной палаты РФ
3100;24542;Начальник камеры
3101;23813;Начальник канцелярии
3102;24549;Начальник караула
3103;24554;Начальник карьера
3104;24563;Начальник клуба
3105;24579;Начальник комплекса
3106;24587;Начальник конторы
3107;24607;Начальник лагеря
3108;24610;Начальник лесничества
3109;24617;Начальник лесобиржи
3110;24621;Начальник лесопитомника
3111;24624;Начальник лесопункта
3112;24629;Начальник летно-методического кабинета
3113;24633;Начальник лоцманской вахты
3114;24636;Начальник льдозавода
3115;24642;Начальник маршрута городского транспорта
3116;24657;Начальник маяка
3117;24659;Начальник метрополитена
3118;24711;Начальник отдела в аппарате верховного суда РФ
3119;24712;Начальник отдела в аппарате высшего арбитражного суда РФ
3120;24714;Начальник отдела в аппарате конституционного суда РФ
3121;24717;Начальник отдела в аппарате центральной избирательной комиссии РФ
3122;24721;Начальник отдела в составе департамента (управления) в аппарате правительства РФ
3123;24724;Начальник отдела в составе управления администрации президента РФ
3124;24729;Начальник отдела в составе управления в аппарате высшего арбитражного суда РФ
3125;24734;Начальник отдела в составе управления в аппарате конституционного суда РФ
3126;24736;Начальник отдела в составе управления в аппарате центральной избирательной комиссии РФ
3127;23901;Начальник отделения
3128;24778;Начальник охраны
3129;23910;Начальник очистных сооружений
3130;24781;Начальник парка
3131;24784;Начальник паромной переправы
3132;24787;Начальник пароходства
3133;23925;Начальник партии
3134;23928;Начальник площадки
3135;24801;Начальник подразделения
3136;24807;Начальник поезда
3137;24811;Начальник позиции
3138;24818;Начальник портового флота
3139;24826;Начальник поста
3140;24827;Начальник поста иммиграционного контроля
3141;24829;Начальник почтамта
3142;24834;Начальник пристани
3143;24837;Начальник причала
3144;23967;Начальник производства
3145;23976;Начальник профилактория
3146;24847;Начальник проходки шахты
3147;24856;Начальник пункта
3148;24862;Начальник радиостанции
3149;24871;Начальник разреза
3150;24878;Начальник района
3151;24882;Начальник расчета пожарной машины
3152;24886;Начальник реактора
3153;24898;Начальник рудника
3154;24902;Начальник сборной команды
3155;24912;Начальник склада
3156;24927;Начальник службы
3157;24951;Начальник смены
3158;24954;Начальник сортировочной горки
3159;24959;Начальник состава почтовых вагонов
3160;24976;Начальник станции
3161;24979;Начальник стационарной платформы
3162;24990;Начальник сушильно-очистительной башни
3163;24993;Начальник таможни
3164;24996;Начальник телеграфа
3165;25006;Начальник тони
3166;25019;Начальник тяговой подстанции
3167;25022;Начальник узла
3168;25042;Начальник управления
3169;25048;Начальник управления в аппарате верховного суда РФ
3170;25049;Начальник управления в аппарате высшего арбитражного суда РФ
3171;25051;Начальник управления в аппарате генеральной прокуратуры РФ
3172;25063;Начальник управления президента РФ
3173;25064;Начальник управления федерального органа исполнительной власти
3174;25082;Начальник участка
3175;25089;Начальник училища
3176;25094;Начальник федерального надзора
3177;25097;Начальник филиала
3178;25102;Начальник хозяйства
3179;25108;Начальник центра
3180;25114;Начальник цеха
3181;25120;Начальник части
3182;25126;Начальник шахты
3183;25134;Начальник штаба
3184;25152;Начальник электроподстанции
3185;25156;Начальник электростанции
3186;25162;Начальник эстакады
3187;15117;Нейтрализаторщик
3188;15121;Нейтрализаторщик цианистых растворов
3189;15124;Нормализаторщик
3190;15126;Носильщик
3191;25176;Нотариус
3192;15129;Нотогравер
3193;15131;Нотографик
3194;15133;Нумеровщик
3195;15135;Няня
3196;15145;Обвязчик агломератов
3197;15149;Обдирщик алмазов
3198;15153;Обезвоживатель шлифзерна и шлифпорошков
3199;15155;Обжарщик пищевых продуктов
3200;15156;Обжигальщик
3201;15157;Обжигальщик
3202;15167;Обжигальщик извести
3203;15173;Обжигальщик ламп
3204;15175;Обжигальщик массивных шин
3205;15179;Обжигальщик металлической тары
3206;15181;Обжигальщик на печах
3207;15185;Обжигальщик прядильных деталей
3208;15187;Обжигальщик радиокерамики, пьезокерамики и ферритов
3209;15191;Обжигальщик слюды
3210;15193;Обжигальщик стеновых и вяжущих материалов
3211;15195;Обжигальщик фарфоровых и фаянсовых изделий
3212;15199;Обжигальщик электроугольных изделий
3213;15201;Обжигальщик эмали
3214;15204;Обжимщик электросоединителей
3215;15206;Обкатчик клюквы
3216;15208;Обкатчик подшипников
3217;15210;Обкатчик труб
3218;15212;Облицовщик деталей мебели
3219;15216;Облицовщик-мраморщик
3220;15220;Облицовщик-плиточник
3221;15222;Облицовщик-полировщик
3222;15224;Облицовщик синтетическими материалами
3223;15228;Обмазчик ковшей
3224;15230;Обмазчик листов и труб
3225;15234;Обмолотчик
3226;15236;Обмотчик элементов электрических машин
3227;15238;Обмуровщик кислотных резервуаров
3228;15242;Обогатитель микропорошков
3229;15246;Обогатитель шлифзерна и шлифпорошков
3230;15248;Обогатитель шлихов
3231;25277;Обозреватель
3232;25282;Обозреватель по экономическим вопросам
3233;25279;Обозреватель политический
3234;15250;Обойщик
3235;15252;Обойщик мебели
3236;15257;Обработчик вентилей
3237;15259;Обработчик ветсанбрака
3238;15263;Обработчик виноматериалов и вина
3239;15267;Обработчик волокна и ткани
3240;15271;Обработчик вторичных шламов
3241;15275;Обработчик дрота
3242;15277;Обработчик заготовок для туб
3243;15279;Обработчик заготовок из стекловолокна
3244;15281;Обработчик зуба берда
3245;25107;Начальник центра
3246;15285;Обработчик изделий из кости и рога
3247;15287;Обработчик изделий из пластмасс
3248;15291;Обработчик икры
3249;15295;Обработчик кожевенно-мехового сырья
3250;15297;Обработчик колбасных изделий
3251;15299;Обработчик коньячных спиртов и коньяков
3252;15301;Обработчик крабов
3253;15303;Обработчик кроликов
3254;15305;Обработчик материалов латексом
3255;15309;Обработчик меховых шкурок
3256;15311;Обработчик морепродуктов
3257;15313;Обработчик морского зверя
3258;15315;Обработчик мясных туш
3259;15317;Обработчик натриевых болванок
3260;15321;Обработчик отходов виноделия
3261;15325;Обработчик пищевых продуктов и тары
3262;15327;Обработчик поверхностных пороков металла
3263;15329;Обработчик подошв
3264;15331;Обработчик пробковых изделий
3265;15333;Обработчик прутков сормайта
3266;15335;Обработчик птицы
3267;15337;Обработчик резиновых изделий
3268;15339;Обработчик рогов
3269;15341;Обработчик рыбы
3270;15343;Обработчик сепараторов
3271;15345;Обработчик синтетического каучука
3272;15347;Обработчик соапстока
3273;15349;Обработчик справочного и информационного материала
3274;15351;Обработчик стеклоблоков
3275;15353;Обработчик сусла и соков
3276;15355;Обработчик твердосплавных изделий
3277;15363;Обработчик триплекса и стеклопакетов
3278;15365;Обработчик художественных изделий из дерева и папье-маше
3279;15367;Обработчик шкур
3280;15371;Обработчик эмалированных изделий
3281;15373;Обрезчик анатомического материала
3282;15375;Обрезчик материалов
3283;15379;Обрубщик
3284;15381;Обрубщик ватников
3285;15385;Обрубщик сучьев
3286;15387;Обрывщик волокна
3287;15389;Обрядчик сырья
3288;15391;Обсыпщик кондитерских изделий
3289;15393;Обувщик по индивидуальному пошиву обуви
3290;15402;Обходчик гидросооружений
3291;15404;Обходчик линейный
3292;15406;Обходчик пути и искусственных сооружений
3293;15408;Обходчик трассы гидрозолоудаления и золоотвалов
3294;15410;Обшивщик цилиндров
3295;15415;Овощевод
3296;15416;Огнеупорщик
3297;15426;Окантовщик киноэкранов
3298;15428;Окантовщик сепараторных пластин
3299;15430;Окантовщик фотоотпечатков
3300;25288;Океанолог
3301;15432;Оклейщик батарей
3302;15434;Оклейщик глобусов
3303;15436;Оклейщик изделий из бересты
3304;15442;Окорщик
3305;15444;Окрасчик игрушек
3306;15446;Окрасчик изделий из стеклопластиков
3307;15448;Окрасчик картона и фибры
3308;15450;Окрасчик микросрезов
3309;15454;Окрасчик резиновых изделий
3310;15458;Оксидировщик-вакуумщик
3311;15460;Оленевод
3312;15462;Омеднильщик
3313;15465;Оператор автомата по производству полуфабрикатов
3314;15466;Оператор автомата по розливу молочной продукции в пакеты и пленку
3315;15468;Оператор автоматизированного лесотранспортера
3316;15472;Оператор автоматизированной линии теплоизоляционных труб
3317;15474;Оператор автоматических и полуавтоматических линий станков и установок
3318;15479;Оператор автоматической линии изготовления белого карандаша
3319;15483;Оператор автоматической линии подготовки и пайки электрорадиоэлементов на печатных платах
3320;15485;Оператор автоматической линии по изготовлению изолированных жил
